lesson_id,grade,module,lesson,title,objectives,i_can,language_objectives,key_questions,big_idea,content_standards,content_standards_list,ad_codes,ad_texts,ad_full,laag
G5-M5-L18,5,5,18,Find the volume of right rectangular prisms by packing with improvised units.,Find the volume of right rectangular prisms by packing with improvised units.,I can use smaller prisms to find the volume of a right rectangular prism.,Write or draw to record how to arrange right rectangular prisms to find the volume of a box. Listen to and orally describe various strategies for finding the volume of a right rectangular prism and compare and connect strategies.,Do right rectangular prisms of the same size have the same volume if they are built by using different arrangements of smaller prisms? Why? How do you find the volume of a right rectangular prism when it is made with something other than cubes?,Seeing Division Layers of Cubes,5.MD.C.4,"[""5.MD.C.4""]","["""", ""5.Mod5.AD7""]","[""volumes"", ""Measure by counting unit cubes that represent cubic centimeters, cubic inches, cubic feet, and improvised units.""]","volumes [5.Mod5.AD7] Measure by counting unit cubes that represent cubic centimeters, cubic inches, cubic feet, and improvised units.",Students reason about how to determine the number of packs of gum and sticks of gum there are in a box. Then they use interlocking cubes to make right rectangular prisms. They use the prisms to build larger right rectangular prisms that are the same size as given boxes and find the boxes’ volumes. Students realize that they can arrange the smaller prisms in different ways to build the larger prisms and that they can use multiple strategies to find volume.
G5-M5-L19,5,5,19,Compose and decompose right rectangular prisms to find their volume by using layers.,Compose and decompose right rectangular prisms to find their volume by using layers.,I can use layers to find the volume of right rectangular prisms.,"Orally and in writing, describe the layers of a right rectangular prism and make connections between the number of layers, the number of cubes in each layer, and the volume of the prism. Write to explain how decomposing a prism into layers helps find the volume.",Why do we decompose right rectangular prisms into layers? Why is there more than one way to decompose a right rectangular prism into layers?,Seeing Division Layers of Cubes,5.MD.C.3; 5.MD.C.3.a; 5.MD.C.3.b; 5.MD.C.4,"[""5.MD.C.3"", ""5.MD.C.3.a"", ""5.MD.C.3.b"", ""5.MD.C.4""]","[""5.Mod5.AD6"", ""5.Mod5.AD7""]","[""Recognize that volume can be measured by using unit cubes and that a solid packed without gaps or overlaps by unit cubes has a volume of cubic units. (5.MD.C.3, 5.MD.C.3.a, 5.MD.C.3.b)"", ""Measure volumes by counting unit cubes that represent cubic centimeters, cubic inches, cubic feet, and improvised units. (5 . M D . C . 4)""]","[5.Mod5.AD6] Recognize that volume can be measured by using unit cubes and that a solid packed without gaps or overlaps by unit cubes has a volume of cubic units. (5.MD.C.3, 5.MD.C.3.a, 5.MD.C.3.b) [5.Mod5.AD7] Measure volumes by counting unit cubes that represent cubic centimeters, cubic inches, cubic feet, and improvised units. (5 . M D . C . 4)","Students determine the volume of a right rectangular prism made of a single layer of cubes. Then they add layers and find the volume of the prism they create by multiplying the number of layers by the volume of each layer. Students find the volumes of prisms by decomposing them into layers, calculating the volume of each layer, and multiplying the number of layers by the volume of each layer. Students explain why prisms can be decomposed into layers in multiple ways."
G5-M5-L20,5,5,20,Interpret volume as filling.,Interpret volume as filling.,I can measure and explain volume by filling a container.,"Orally justify why statements about volume and capacity are true or false, and listen to the reasoning of others to support or challenge their thinking. Write to explain concepts related to volume and capacity by using knowledge about packing and filling a three-dimensional space.","When we measure the volume of a liquid or a solid, what are we measuring? How are packing and filling similar? How are they different?",Seeing Division Layers of Cubes,5.MD.C.3; 5.MD.C.3.a; 5.MD.C.3.b,"[""5.MD.C.3"", ""5.MD.C.3.a"", ""5.MD.C.3.b""]","["""", ""5.Mod5.AD6""]","[""that volume"", ""Recognize can be measured by using unit cubes and that a solid packed without gaps or overlaps by unit cubes has a volume of cubic units. (5.MD.C.3, 5.MD.C.3.a, 5.MD.C.3.b)""]","that volume [5.Mod5.AD6] Recognize can be measured by using unit cubes and that a solid packed without gaps or overlaps by unit cubes has a volume of cubic units. (5.MD.C.3, 5.MD.C.3.a, 5.MD.C.3.b)","Students explore conceptual ideas about volume. After realizing that packing with cubes to find volume is not always possible, students learn that they can find volume by filling with a liquid. Students learn that every three-dimensional object has volume and that volume is the same regardless of whether a space is packed or filled. There is no Problem Set for this lesson. The Exit Ticket for this lesson serves as an opportunity for students to reflect on the lesson."
G5-M5-L21,5,5,21,Relate volumes of solids and liquid volume.,Relate volumes of solids and liquid volume.,I can solve problems that involve the volumes of solids and liquids.,"Read real-world problems involving liquid volume and solve the problems by applying strategies for finding the volumes of solids and by using the relationship between cubic centimeters and milliliters. Orally and in writing, describe how cubic centimeters and milliliters are related.",How are volumes of solids and liquids related? How are cubic centimeters and milliliters related?,Seeing Division Layers of Cubes,5.MD.C.3; 5.MD.C.3.a; 5.MD.C.3.b; 5.MD.C.4,"[""5.MD.C.3"", ""5.MD.C.3.a"", ""5.MD.C.3.b"", ""5.MD.C.4""]","[""5.Mod5.AD6"", ""5.Mod5.AD7""]","[""Recognize that volume can be measured by using unit cubes and that a solid packed without gaps or overlaps by unit cubes has a volume of cubic units. (5.MD.C.3, 5.MD.C.3.a, 5.MD.C.3.b)"", ""Measure volumes by counting unit cubes that represent cubic centimeters, cubic inches, cubic feet, and improvised units.""]","[5.Mod5.AD6] Recognize that volume can be measured by using unit cubes and that a solid packed without gaps or overlaps by unit cubes has a volume of cubic units. (5.MD.C.3, 5.MD.C.3.a, 5.MD.C.3.b) [5.Mod5.AD7] Measure volumes by counting unit cubes that represent cubic centimeters, cubic inches, cubic feet, and improvised units.","Through watching a video and class discussion, students learn that cubic centimeter has the same volume as milliliter. Students know that they can determine the volume of any container in cubic centimeters by filling the container with water, measuring the volume of water in a graduated cylinder, and converting the volume in milliliters to cubic centimeters. Students use the relationships between cubic centimeters and milliliters to solve real-world problems."
G5-M5-L22,5,5,22,Find the volumes of right rectangular prisms by using the area of the base.,Find the volumes of right rectangular prisms by using the area of the base.,I can use the area of the base of a right rectangular prism to find its volume.,"Orally describe how using layers to find the volume of a right rectangular prism is related to using the formula Read a description of a right rectangular prism and analyze its measurements to orally determine the unknown volume, height, or area of the base by using the formula",Why can we think of any face of a right rectangular prism as its base? Why can we calculate the volume of a right rectangular prism by multiplying the area of its base by its height?,Factors and Groups Seeing Division Layers of Cubes,5.MD.C.5; 5.MD.C.5.a; 5.MD.C.5.b,"[""5.MD.C.5"", ""5.MD.C.5.a"", ""5.MD.C.5.b""]","[""5.Mod5.AD8"", ""5.Mod5.AD9"", ""5.Mod5.AD11""]","[""Determine unknown attributes of right rectangular prisms given the volume."", ""Explain the relationship between multiplication and volume by packing right rectangular prisms with unit cubes."", ""Calculate volumes of right rectangular prisms by using and""]",[5.Mod5.AD8] Determine unknown attributes of right rectangular prisms given the volume. [5.Mod5.AD9] Explain the relationship between multiplication and volume by packing right rectangular prisms with unit cubes. [5.Mod5.AD11] Calculate volumes of right rectangular prisms by using and,"Students determine that they can calculate the volume of a right rectangular prism by multiplying the area of the prism’s base by the prism’s height. They write, define, and use the formula They explain why any face of a right rectangular prism can be its base."
G5-M5-L23,5,5,23,Find the volumes of right rectangular prisms by multiplying the edge lengths.,Find the volumes of right rectangular prisms by multiplying the edge lengths.,I can use the edge lengths of a right rectangular prism to find its volume.,Orally explain why the formulas and can be used to determine the volume of a right rectangular prism by making connections between the area of the prism’s base and the length and width of the prism.,How are the formulas for finding the volume of a right rectangular prism similar? Why is having two formulas for the volume of a right rectangular prism helpful?,Factors and Groups Seeing Division Layers of Cubes,5.MD.C.5.a; 5.MD.C.5.b,"[""5.MD.C.5.a"", ""5.MD.C.5.b""]","[""5.Mod5.AD9"", ""5.Mod5.AD10"", ""5.Mod5.AD11""]","[""Explain the relationship between multiplication and volume by packing right rectangular prisms with unit cubes."", ""Model and explain threefold whole-number products as volumes."", ""Calculate volumes of right rectangular prisms by using and""]",[5.Mod5.AD9] Explain the relationship between multiplication and volume by packing right rectangular prisms with unit cubes. [5.Mod5.AD10] Model and explain threefold whole-number products as volumes. [5.Mod5.AD11] Calculate volumes of right rectangular prisms by using and,"Students determine that they can multiply a right rectangular prism’s length, width, and height to determine its volume. They write, define, and use the formula recognizing that any of the edges of a prism can be defined as the length, width, or height. Students determine an unknown edge length, such as height, in a right rectangular prism when given the volume and two other dimensions."
G5-M5-L24,5,5,24,Solve word problems involving volumes of right rectangular prisms.,Solve word problems involving volumes of right rectangular prisms.,I can find the volumes of right rectangular prisms to solve word problems.,Read word problems involving volumes of right rectangular prisms. Listen to and orally describe the problems’ meanings and possible strategies for solving them to compare solution strategies. Write or draw to record a solution strategy and an equation to solve a problem involving the volume of a right rectangular prism. Orally describe how to find the dimensions of a right rectangular prism by decomposing the prism’s volume into factors.,"How can we use the formulas for the volume of a right rectangular prism to solve real- world problems? If you know a right rectangular prism’s volume, how can you determine possible dimensions of the prism?",Factors and Groups Seeing Division,5.MD.C.5; 5.MD.C.5.c,"[""5.MD.C.5"", ""5.MD.C.5.c""]","[""5.Mod5.AD8"", ""5.Mod5.AD12""]","[""Determine unknown attributes of right rectangular prisms given the volume."", ""Find volumes of figures composed of right rectangular prisms to solve real-world and mathematical problems.""]",[5.Mod5.AD8] Determine unknown attributes of right rectangular prisms given the volume. [5.Mod5.AD12] Find volumes of figures composed of right rectangular prisms to solve real-world and mathematical problems.,"Students work in pairs to solve word problems involving volumes of right rectangular prisms. Students use the volume formulas to find either volumes or unknown dimensions of prisms. When given the volume of a prism, students determine possible dimensions of the prism by decomposing numbers into factors and by using the commutative and associative properties of multiplication."
G5-M5-L25,5,5,25,Find the volumes of solid figures composed of right rectangular prisms.,Find the volumes of solid figures composed of right rectangular prisms.,I can find the volumes of figures composed of right rectangular prisms.,Orally decide how to decompose a figure into right rectangular prisms and how to use the decompositions to find the figure’s volume. Orally justify the decisions. Orally compare different decompositions of a solid figure to conclude that there are multiple ways to find the volume of a solid figure composed of right rectangular prisms.,How can we use the volumes of right rectangular prisms to find the volume of a solid figure composed of those prisms?,Seeing Division Layers of Cubes,5.MD.C.5.b; 5.MD.C.5.c,"[""5.MD.C.5.b"", ""5.MD.C.5.c""]","[""5.Mod5.AD11"", ""5.Mod5.AD12""]","[""Calculate volumes of right rectangular prisms by using and"", ""Find volumes of figures composed of right rectangular prisms to solve real-world and mathematical problems.""]",[5.Mod5.AD11] Calculate volumes of right rectangular prisms by using and [5.Mod5.AD12] Find volumes of figures composed of right rectangular prisms to solve real-world and mathematical problems.,"Students find the volumes of solid figures composed of right rectangular prisms. They decompose the figures into right rectangular prisms, find the volumes of the prisms, and add the volumes together. Students compare different ways that a figure can be decomposed."
G5-M5-L26,5,5,26,"Solve word problems involving perimeter, area, and volume.","Solve word problems involving perimeter, area, and volume.","I can solve word problems that involve perimeter, area, and volume.","Read word problems involving perimeter, area, and volume, and orally justify a solution strategy by using language from the problem that indicates which measurement to find. Write or draw to record a solution strategy and an equation to solve a problem involving perimeter, area, and volume.","How do you know whether a situation involves perimeter, area, or volume?",Seeing Division,5.MD.C.5.b; 5.MD.C.5.c,"[""5.MD.C.5.b"", ""5.MD.C.5.c""]","[""5.Mod5.AD11"", ""5.Mod5.AD12""]","[""Calculate volumes of right rectangular prisms by using and"", ""Find volumes of figures composed of right rectangular prisms to solve real-world and mathematical problems.""]",[5.Mod5.AD11] Calculate volumes of right rectangular prisms by using and [5.Mod5.AD12] Find volumes of figures composed of right rectangular prisms to solve real-world and mathematical problems.,"Students work in pairs to sort real-world situations into categories based on whether the situations require finding perimeter, area, or volume. When students consider the length of wood that encloses a garden box, the amount of the lawn a garden box covers, and the amount of soil needed to fill a garden box, they recognize that building a garden box requires finding all three measurements: perimeter, area, and volume. Students choose real-world problems to solve: one involving perimeter, one involving area, and one involving volume."
G5-M5-L27,5,5,27,"Apply concepts and formulas of volume to design a sculpture by using right rectangular prisms, part 1.","Apply concepts and formulas of volume to design a sculpture by using right rectangular prisms, part 1.",I can use right rectangular prisms to design a sculpture and to find its volume.,"Read the guidelines for creating a sculpture and orally discuss the guidelines and ideas for a design with a partner. Through listening to and speaking with a partner, design and create a sculpture that meets the guidelines by using the formula for volume to calculate the dimensions of the prisms in the sculpture.",How can you create a right rectangular prism that is a fraction of the volume of another prism?,Modeling Seeing Division,5.MD.C.5.b; 5.MD.C.5.c,"[""5.MD.C.5.b"", ""5.MD.C.5.c""]","[""5.Mod5.AD11"", ""5.Mod5.AD12""]","[""Calculate volumes of right rectangular prisms by using and"", ""Find volumes of figures composed of right rectangular prisms to solve real-world and mathematical problems. (5 . M D . C . 5.c)""]",[5.Mod5.AD11] Calculate volumes of right rectangular prisms by using and [5.Mod5.AD12] Find volumes of figures composed of right rectangular prisms to solve real-world and mathematical problems. (5 . M D . C . 5.c),"Students design and create a sculpture inspired by a piece of art called Cubi VI. While following guidelines for creating a sculpture, students choose heights for right rectangular prisms with given bases and multiply edge lengths to calculate volumes. Students work in pairs to assemble several prisms and use the prisms to create sculptures. Partners record their calculations for the total volume of their sculptures to be used in the next lesson. There is no Problem Set for this lesson. Instead, students use the time to complete their sculptures and record their calculations."
