lesson_id,grade,module,lesson,title,objectives,i_can,language_objectives,key_questions,big_idea,content_standards,content_standards_list,ad_codes,ad_texts,ad_full,laag
GK-M1-L1,K,1,1,Compare objects based on their attributes.,Compare objects based on their attributes.,I can compare things. I can tell how things are the same or different.,"Orally describe the attributes of objects. Orally describe similarities and differences between objects by using the phrases exactly the same, different, and the same, but.",What are some ways that things can be the same?,Sort and Describe Data,K.MD.B.3,"[""K.MD.B.3""]","[""K.Mod1.AD10""]","[""Sort objects into categories.""]",[K.Mod1.AD10] Sort objects into categories.,"In this lesson, students consider multiple attributes to compare objects. If all the attributes are the same, the objects are exactly the same. If some attributes are the same but some are different, students use the same but … to describe the similarities and differences. Attention to attributes is foundational to sorting throughout this topic."
GK-M1-L2,K,1,2,Classify objects into two categories.,Classify objects into two categories.,I can compare things. I can sort things.,Orally explain how objects are sorted into two groups by attribute.,What are some ways you can sort?,Sort and Describe Data,K.MD.B.3,"[""K.MD.B.3""]","[""K.Mod1.AD10""]","[""Sort objects into categories.""]",[K.Mod1.AD10] Sort objects into categories.,"Once students can compare objects based on a specific attribute, they can create groups of objects that share an attribute (classification). At first the groups are sorted by simple, obvious attributes like color. In this lesson, students choose a way to sort objects and use words to share how they sorted. This lesson introduces the term sort."
GK-M1-L3,K,1,3,Classify objects into two categories and count.,Classify objects into two categories and count.,I can sort things into two groups. I can count how many in each group.,Orally explain different ways to sort objects into two groups.,What can we do to count correctly?,Sort and Describe Data How Many?,K.CC.B.5; K.MD.B.3,"[""K.CC.B.5"", ""K.MD.B.3""]","[""K.Mod1.AD8"", ""K.Mod1.AD10""]","[""Count to answer how many questions about as many as 10 things arranged in a line, a rectangular array, a circle, or a scattered configuration."", ""Sort objects into categories.""]","[K.Mod1.AD8] Count to answer how many questions about as many as 10 things arranged in a line, a rectangular array, a circle, or a scattered configuration. [K.Mod1.AD10] Sort objects into categories.","In this lesson, students continue to classify objects into groups with a focus on challenging attributes. They also ask and answer a natural question after creating a group—How many are in the group? One-to-one correspondence and an understanding of cardinality are the subject of discussion and practice. This lesson formalizes the term count."
GK-M1-L4,K,1,4,Classify objects into three categories and count.,Classify objects into three categories and count.,I can sort things into three groups. I can count how many in each group.,Orally explain how objects are sorted into three groups. Orally count in standard order to tell how many objects are in each group.,What does it mean to sort into groups?,Sort and Describe Data How Many?,K.CC.A.1; K.MD.B.3,"[""K.CC.A.1"", ""K.MD.B.3""]","[""K.Mod1 AD1"", ""K.Mod1 AD10""]","[""Count to 10."", ""Sort objects into categories.""]",[K.Mod1 AD1] Count to 10. [K.Mod1 AD10] Sort objects into categories.,"After some experience with classification, students are able to sort into more than two groups. In this lesson, students sort into three groups and count the number of objects in each group. They also record their sort on paper, an early example of modeling with mathematics (SMP.4)."
GK-M1-L5,K,1,5,"Classify objects into three categories, count, and match to a numeral.","Classify objects into three categories, count, and match to a numeral.",I can sort and count things. I can find the matching number.,"Orally explain how objects are sorted into groups, and match a numeral to each group. Read numerals and associate each numeral with a quantity, expressed as lyrics in a counting song.",How can numbers help us?,Sort and Describe Data How Many?,K.CC.A.3; K.MD.B.3,"[""K.CC.A.3"", ""K.MD.B.3""]","[""K.Mod1.AD3"", ""K.Mod1.AD10""]","[""Represent a group of objects with a written numeral 0\u201310."", ""Sort objects into categories.""]",[K.Mod1.AD3] Represent a group of objects with a written numeral 0–10. [K.Mod1.AD10] Sort objects into categories.,"Students are exposed to written numerals during the first four lessons, but they are formally introduced in lesson 5. Students sing “I Can Count”, a song that may be familiar from prekindergarten, to name the numerals and associate each with a quantity. They continue to sort and count objects, now matching a numeral to each group. This lesson introduces the term number."
GK-M1-L6,K,1,6,"Organize, count, and represent a collection of objects.","Organize, count, and represent a collection of objects.",I can show how I count a group of things.,"With a partner, listen to and orally describe a strategy to count and record a collection of objects. Use terms such as sort, count, number, and strategies.","What are some strategies, or things we can do, to help us count?",How Many?,K.CC.A.1; K.CC.B.4.a; K.CC.B.4.b; K.CC.B.5,"[""K.CC.A.1"", ""K.CC.B.4.a"", ""K.CC.B.4.b"", ""K.CC.B.5""]","[""K.Mod1.AD1"", ""K.Mod1.AD4"", ""K.Mod1.AD5"", ""K.Mod1.AD8""]","[""Count to 10."", ""Say one number name with each object when counting up to 10 objects."", ""Use the last number of a count to tell how many regardless of arrangement or order counted."", ""Count to answer how many questions about as many as 10 things arranged in a line, a rectangular array, a circle, or a scattered configuration.""]","[K.Mod1.AD1] Count to 10. [K.Mod1.AD4] Say one number name with each object when counting up to 10 objects. [K.Mod1.AD5] Use the last number of a count to tell how many regardless of arrangement or order counted. [K.Mod1.AD8] Count to answer how many questions about as many as 10 things arranged in a line, a rectangular array, a circle, or a scattered configuration.","This lesson is an opportunity to gather formative assessment data as students use a counting collection to explore ways to count and represent a group of items. Students decide how to count, observe how others count, and discuss accurate counting • Count and bag collections (see strategies. This lesson introduces the term strategy. Materials section in the module resources)."
GK-M1-L7,K,1,7,Practice counting accurately.,Practice counting accurately.,I can count. I can match a number to show how many.,"Orally count to see if there are enough of something. Through partner games, practice counting orally and reading to match a numeral to a set of objects.",How do you know you have counted correctly?,How Many?,K.CC.A.3; K.CC.B.4.a; K.CC.B.4.b; K.CC.B.5,"[""K.CC.A.3"", ""K.CC.B.4.a"", ""K.CC.B.4.b"", ""K.CC.B.5""]","[""K.Mod1.AD3"", ""K.Mod1.AD4"", ""K.Mod1.AD5"", ""K.Mod1.AD8""]","[""Represent a group of objects with a written numeral 0\u201310."", ""Say one number name with each object when counting up to 10 objects."", ""Use the last number of a count to tell how many regardless of arrangement or order counted."", ""Count to answer how many questions about as many as 10 things arranged in a line, a rectangular array, a circle, or a scattered configuration.""]","[K.Mod1.AD3] Represent a group of objects with a written numeral 0–10. [K.Mod1.AD4] Say one number name with each object when counting up to 10 objects. [K.Mod1.AD5] Use the last number of a count to tell how many regardless of arrangement or order counted. [K.Mod1.AD8] Count to answer how many questions about as many as 10 things arranged in a line, a rectangular array, a circle, or a scattered configuration.","Young students need plenty of practice to integrate number core components and to count accurately. Throughout this module, students will consider reasons to count and use numbers. The games in this lesson provide counting practice and reinforce the idea that counting is both useful and fun. This lesson introduces the term enough."
GK-M1-L8,K,1,8,"Count sets in linear, array, and scattered configurations.","Count sets in linear, array, and scattered configurations.",I can use a strategy to count. I can match a number to show how many.,Orally explain strategies for counting in different configurations. Orally count and identify the number that tells how many in each set.,What strategies can you use to count correctly?,How Many?,K.CC.B.5,"[""K.CC.B.5""]","[""K.Mod1.AD8""]","[""Count to answer how many questions about as many as 10 things arranged in a line, a rectangular array, a circle, or a scattered configuration.""]","[K.Mod1.AD8] Count to answer how many questions about as many as 10 things arranged in a line, a rectangular array, a circle, or a scattered configuration.","In this lesson, students explore ways to count pictures when objects are in linear, array, or scattered configurations. They use the touch and count strategy and learn an alternative strategy called mark and count for when objects cannot be moved. This lesson introduces the terms line and notice."
GK-M1-L9,K,1,9,Conserve number regardless of the arrangement of objects.,Conserve number regardless of the arrangement of objects.,"I can count things. I can match a number to show how many. When I move things, I dont need to count them again.","Orally count and tell how many are in the same set of objects, presented twice in different configurations. Read numerals and identify the numeral that tells how many in each set.",Do I have to count again when a group is moved?,How Many?,K.CC.B.4.b,"[""K.CC.B.4.b""]","[""K.Mod1.AD6""]","[""Say how many without recounting when objects are rearranged.""]",[K.Mod1.AD6] Say how many without recounting when objects are rearranged.,"In this lesson, students consider whether to recount a group of objects after they are moved. Repeated experiences of this type help students understand conservation, that the number of objects in a group stays the same regardless of their arrangement."
GK-M1-L10,K,1,10,Count out a group of objects to match a numeral.,Count out a group of objects to match a numeral.,I can count out a group of things to match a number.,Orally explain strategies for counting out a given amount of objects.,How can we remember when to stop counting?,How Many?,K.CC.B.5,"[""K.CC.B.5""]","[""K.Mod1.AD9""]","[""Count out a given number of 1\u201310 objects from a larger group.""]",[K.Mod1.AD9] Count out a given number of 1–10 objects from a larger group.,"Once students can count a group to answer a how many question, they are ready to create a group with a specific number of objects. In this lesson, students explore a new reason for counting: to create a group of a specific size."
GK-M1-L11,K,1,11,Write numerals 1–3 to answer how many questions.,Write numerals 1–3 to answer how many questions.,"I can write 1, 2, or 3 to show how many.","Write the numerals 1, 2, and 3 and identify missing numbers in an oral and written sequence up to 3. Read to identify numerals and orally explain why people write numerals.",Why do we write numbers?,How Many?,K.CC.A.3,"[""K.CC.A.3""]","[""K.Mod1.AD2""]","[""Write numbers from 0 to 10.""]",[K.Mod1.AD2] Write numbers from 0 to 10.,"Students consider why people write numerals as they learn to write 1, 2, and 3. In this lesson, students count spoken words, something they cannot see or touch, and represent the number of words by writing a numeral."
GK-M1-L12,K,1,12,Write numerals 4 and 5 to answer how many questions.,Write numerals 4 and 5 to answer how many questions.,I can write 4 or 5 to show how many.,Write the numerals 4 and 5 and identify missing numbers in an oral and written sequence up to 5. Read to identify numerals in the environment and orally describe them.,Why do we write numbers?,How Many?,K.CC.A.1; K.CC.A.3,"[""K.CC.A.1"", ""K.CC.A.3""]","[""K.Mod1.AD1"", ""K.Mod1.AD2""]","[""Count to 10."", ""Write numbers from 0 to 10.""]",[K.Mod1.AD1] Count to 10. [K.Mod1.AD2] Write numbers from 0 to 10.,Students continue to explore reasons for writing numerals as they learn the formations for 4 and 5.
GK-M1-L13,K,1,13,Count out enough objects and write the numeral.,Count out enough objects and write the numeral.,I can count out enough. I can write a number to show how many.,Orally describe strategies to determine if there are enough of something.,How did you know you counted out enough?,How Many?,K.CC.B.4.a; K.CC.B.4.b,"[""K.CC.B.4.a"", ""K.CC.B.4.b""]","[""K.Mod1.AD4"", ""K.Mod1.AD5""]","[""Say one number name with each object when counting up to 10 objects."", ""Use the last number of a count to tell how many regardless of arrangement or order counted.""]",[K.Mod1.AD4] Say one number name with each object when counting up to 10 objects. [K.Mod1.AD5] Use the last number of a count to tell how many regardless of arrangement or order counted.,In this lesson students think about the concept of enough and use it to see whether they have correctly counted out a group. Students pass out plates and serve pretend food to reason about making sure they have enough.
GK-M1-L14,K,1,14,Understand the meaning of zero and write the numeral.,Understand the meaning of zero and write the numeral.,I can explain what zero means. I can write 0 and other numbers to show how many.,Write numerals including zero and orally describe the meaning of zero. Listen to a count and orally state the missing number.,What does zero mean?,How Many?,K.CC.A.3,"[""K.CC.A.3""]","[""K.Mod1.AD2"", ""K.Mod1.AD3""]","[""Write numbers from 0 to 10."", ""Represent a group of objects with a written numeral 0\u201310.""]",[K.Mod1.AD2] Write numbers from 0 to 10. [K.Mod1.AD3] Represent a group of objects with a written numeral 0–10.,Students learn to use zero to describe a group with no objects. They watch a video that shows taking away one object at a time until there are no objects left and use beans to model what they see. Students also learn to write the numeral 0.
GK-M1-L15,K,1,15,Sort the same group of objects in more than one way and count.,Sort the same group of objects in more than one way and count.,I can sort in different ways. I know the number of things stays the same even if the sort changes.,"Listen to and orally describe strategies for sorting by attribute (including color and size), and explain how to show the totals and parts. Orally compare and connect each sort to a number sentence.",Does sorting the same group a different way change the number of objects?,Sort and Describe Data How Many?,K.MD.B.3,"[""K.MD.B.3""]","[""K.Mod1.AD10""]","[""Sort objects into categories.""]",[K.Mod1.AD10] Sort objects into categories.,"Students count to find the total number of objects in a set and then sort the set into groups. They express the relationship between the total and the groups (or parts) by using a number sentence, such as 5 is 4 and 1. Students sort their set of objects more than once, by using a different attribute each time. This lesson introduces the phrase number sentence."
GK-M1-L16,K,1,16,Decompose a set shown in a picture.,Decompose a set shown in a picture.,I can sort in different ways. I can write numbers about my sort.,Orally describe objects in a picture to classify them into two groups. Draw and write to represent an addition problem with both addends unknown.,What are ways to break a set into groups? How can we make a number sentence to match a group?,Sort and Describe Data How Many?,K.MD.B.3,"[""K.MD.B.3""]","[""K.Mod1.AD10""]","[""Sort objects into categories.""]",[K.Mod1.AD10] Sort objects into categories.,Students sort objects in pictures by selecting an attribute and describing how many objects fit into each group. This is a new layer of abstraction as students cannot move the objects into groups. It focuses attention on the numbers in preparation for the part–total work in module 4.
GK-M1-L17,K,1,17,Model story problems.,Model story problems.,I can show story problems in different ways.,Orally explain what happens when quantities are joined and when they are separated. Listen in order to model and solve add to and take from math story problems.,What happens to a group when some join? What happens to a group when some leave?,Model with Numbers,Foundational to K.OA.A.1,"[""Foundational to K.OA.A.1""]","[""""]","[""This lesson is foundational to the work of K.OA.A.1. Its content is intended to serve as a formative assessment and is therefore not included on summative assessments in this module.""]",This lesson is foundational to the work of K.OA.A.1. Its content is intended to serve as a formative assessment and is therefore not included on summative assessments in this module.,"Children intuitively model story problems as part of their everyday lives. This lesson taps into their natural way of thinking about addition and subtraction problems. They learn that when more things come, the group gets bigger, and when things leave, the group gets smaller. Module 5 explores formal addition and subtraction conventions. This lesson introduces the terms explain and solve."
GK-M1-L18,K,1,18,Model story problems and identify the numeral referents.,Model story problems and identify the numeral referents.,I can tell about a story problem. I can use number sentences.,"Listen in order to model and solve story problems. Read and listen to a number sentence that matches the story problem, and orally explain what each number refers to.",What is a story problem? What do number sentences tell us about a story problem?,Model with Numbers,Foundational to K.OA.A.1,"[""Foundational to K.OA.A.1""]","[""""]","[""This lesson is foundational to the work of K.OA.A.1. Its content is intended to serve as a formative assessment and is therefore not included on summative assessments in this module.""]",This lesson is foundational to the work of K.OA.A.1. Its content is intended to serve as a formative assessment and is therefore not included on summative assessments in this module.,This lesson extends the intuitive modeling of story problems by helping students attach numbers to the context of the story. Understanding what numbers refer to in math stories is key to solving story problems successfully. Introducing problem-solving skills slowly throughout the year is intentional. Story problems are revisited in modules 4 and 5.
GK-M1-L19,K,1,19,"Organize, count, and represent a collection of objects.","Organize, count, and represent a collection of objects.",I can show how I count a group of things.,"Listen to and orally describe strategies to accurately count and record a collection of objects, including move and count and touch and count.","What are some strategies, or things we can do, to help us count?",Sort and Describe Data How Many?,K.CC.A.1; K.CC.B.4.a; K.CC.B.4.b; K.CC.B.5,"[""K.CC.A.1"", ""K.CC.B.4.a"", ""K.CC.B.4.b"", ""K.CC.B.5""]","[""K.Mod1.AD1"", ""K.Mod1.AD4"", ""K.Mod1.AD5"", ""K.Mod1.AD8""]","[""Count to 10."", ""Say one number name with each object when counting up to 10 objects."", ""Use the last number of a count to tell how many regardless of arrangement or order counted."", ""Count to answer how many questions about as many as 10 things arranged in a line, a rectangular array, a circle, or a scattered configuration.""]","[K.Mod1.AD1] Count to 10. [K.Mod1.AD4] Say one number name with each object when counting up to 10 objects. [K.Mod1.AD5] Use the last number of a count to tell how many regardless of arrangement or order counted. [K.Mod1.AD8] Count to answer how many questions about as many as 10 things arranged in a line, a rectangular array, a circle, or a scattered configuration.","This lesson invites students to count and record a collection of objects by using the tools and strategies of their choice. During this second experience with counting collections, students have an opportunity to demonstrate and celebrate growth with counting concepts while teachers gather formative assessment data. There is no fluency component in this lesson."
GK-M1-L20,K,1,20,Count objects in 5-group and array configurations and match to a numeral.,Count objects in 5-group and array configurations and match to a numeral.,I can use a 5-group to count. I can match my count to a number.,"Orally compare counting on fingers to counting in 5-group formations, and describe the relationship between models.",What makes 5 an important number?,Sort and Describe Data How Many?,K.CC.B.4.b; K.CC.B.5,"[""K.CC.B.4.b"", ""K.CC.B.5""]","[""K.Mod1.AD5"", ""K.Mod1.AD8""]","[""Use the last number of a count to tell how many regardless of arrangement or order counted."", ""Count to answer how many questions about as many as 10 things arranged in a line, a rectangular array, a circle, or a scattered configuration.""]","[K.Mod1.AD5] Use the last number of a count to tell how many regardless of arrangement or order counted. [K.Mod1.AD8] Count to answer how many questions about as many as 10 things arranged in a line, a rectangular array, a circle, or a scattered configuration.","Students relate counting the math way on their fingers to pictorial 5-group formations. These models allow students to see numbers 6–10 in relation to 5, which supports visualization and subitizing. Students will also create and count array configurations. The term 5-group is introduced in this lesson."
GK-M1-L21,K,1,21,Count sets in circular configurations and match to a numeral.,Count sets in circular configurations and match to a numeral.,I can count things that are in a circle. I can match my count to a number.,"Orally describe strategies to start, track, and end a count in a circular configuration, including mark and count. After finding the total in a set, read to identify the numeral that tells how many.","What are some strategies, or things we can do, to help us count things that are in a circle?",How Many?,K.CC.A.3; K.CC.B.5,"[""K.CC.A.3"", ""K.CC.B.5""]","[""K.Mod1.AD3"", ""K.Mod1.AD8""]","[""Represent a group of objects with a written numeral 0\u201310."", ""Count to answer how many questions about as many as 10 things arranged in a line, a rectangular array, a circle, or a scattered configuration.""]","[K.Mod1.AD3] Represent a group of objects with a written numeral 0–10. [K.Mod1.AD8] Count to answer how many questions about as many as 10 things arranged in a line, a rectangular array, a circle, or a scattered configuration.","Young students need plenty of practice to integrate number core components to count accurately. This is the first lesson where students consider how to accurately count objects in a circular configuration. They discuss strategies to track, start, and end their count."
GK-M1-L22,K,1,22,Count sets in scattered configurations and match to a numeral.,Count sets in scattered configurations and match to a numeral.,I can use strategies to help me count. I can match my count to a number.,Orally describe how counting strategies differ for counting a group of concrete objects versus counting a group in a picture. Read numerals in isolation and orally count sets of objects while playing a game.,Which strategy would you use to count a scattered group?,How Many?,K.CC.A.3; K.CC.B.5,"[""K.CC.A.3"", ""K.CC.B.5""]","[""K.Mod1.AD3"", ""K.Mod1.AD8""]","[""Represent a group of objects with a written numeral 0\u201310."", ""Count to answer how many questions about as many as 10 things arranged in a line, a rectangular array, a circle, or a scattered configuration.""]","[K.Mod1.AD3] Represent a group of objects with a written numeral 0–10. [K.Mod1.AD8] Count to answer how many questions about as many as 10 things arranged in a line, a rectangular array, a circle, or a scattered configuration.","Students count objects in scattered configurations by using move and count for concrete objects and mark and count for pictures. They match number cards to groups in scattered, circular, linear, and array configurations. Then they play bingo, which provides practice with recognizing numbers in isolation."
GK-M1-L23,K,1,23,Conserve number regardless of the order in which objects are counted.,Conserve number regardless of the order in which objects are counted.,I can start counting things at different places. I know the number of things stays the same.,"Orally count a number of objects by using different counting paths and explain why the total remains the same. Orally count, and then identify the number that tells how many orally and in writing.",Does it matter where you start counting?,How Many?,K.CC.B.4.b,"[""K.CC.B.4.b""]","[""K.Mod1.AD6""]","[""Say how many without recounting when objects are rearranged.""]",[K.Mod1.AD6] Say how many without recounting when objects are rearranged.,Students count groups of scattered objects in different ways. They notice that the number of objects stays the same. Students use repeated experiences to test the idea and confirm that the number of objects stays the same no matter the order in which they are counted.
GK-M1-L24,K,1,24,Count out a group of objects to match a numeral.,Count out a group of objects to match a numeral.,I can count out a group of things to match a number.,Orally explain strategies for counting out a given amount of objects.,How can we remember when to stop counting?,How Many?,K.CC.B.5,"[""K.CC.B.5""]","[""K.Mod1.AD9""]","[""Count out a given number of 1\u201310 objects from a larger group.""]",[K.Mod1.AD9] Count out a given number of 1–10 objects from a larger group.,"This lesson revisits the drive-thru role-play game from lesson 10, where students counted out a group of objects to match a number from 1–5. This lesson extends the work to 10. Now that students can accurately count a group of up to 10 objects and recognize numerals 6–10, they are ready to create larger groups."
GK-M1-L25,K,1,25,Write numerals 6 and 7.,Write numerals 6 and 7.,I can write numbers up to 7 to show how many.,Write the numerals 6 and 7 and identify missing numbers in an oral and written sequence up to 7. Read to identify numerals and orally describe purposes for writing numerals.,Why do we write numbers?,How Many?,K.CC.A.3,"[""K.CC.A.3""]","[""K.Mod1.AD2""]","[""Write numbers from 0 to 10.""]",[K.Mod1.AD2] Write numbers from 0 to 10.,Students consider why people write numerals as they learn to write 6 and 7. They focus on writing numerals as a way to remember how many times something happens.
GK-M1-L26,K,1,26,Write numeral 8.,Write numeral 8.,I can write numbers up to 8 to show how many.,Write the numeral 8 and identify missing numbers in an oral and written sequence up to 8. Read to identify numerals and orally explain purposes for writing numerals.,Why do we write numbers?,How Many?,K.CC.A.1; K.CC.A.3,"[""K.CC.A.1"", ""K.CC.A.3""]","["""", ""K.Mod1.AD1"", ""K.Mod1.AD2""]","[""to 10."", ""Count"", ""Write numbers from 0 to 10.""]",to 10. [K.Mod1.AD1] Count [K.Mod1.AD2] Write numbers from 0 to 10.,"Students know that written numerals tell how many, are more efficient than drawing, and help us remember quantities. They continue to explore reasons people write numerals as they learn to write 8. They realize, when counting the arms and legs of animals, it’s helpful to write down the number of limbs rather than count them over again."
GK-M1-L27,K,1,27,Write numerals 9 and 10.,Write numerals 9 and 10.,I can write numbers up to 10 to show how many.,Write the numerals 9 and 10 and identify missing numbers in an oral and written sequence up to 10. Read to identify numerals and orally establish a purpose for writing numerals.,Why do we write numbers?,How Many?,K.CC.A.3,"[""K.CC.A.3""]","[""K.Mod1.AD2""]","[""Write numbers from 0 to 10.""]",[K.Mod1.AD2] Write numbers from 0 to 10.,Students round out their module 1 numeral writing experience by learning how to form 9 and 10. They celebrate their new abilities by writing numerals 1–10 in order and sharing their thoughts about why people write numerals.
GK-M1-L28,K,1,28,Order numerals 1–10 and reason about an unknown number in the number sequence.,Order numerals 1–10 and reason about an unknown number in the number sequence.,I can put numbers in order. I can write numbers that are missing.,Read numerals and orally reason about how to put them in order. Listen to and orally describe how to check a number sequence for accuracy and identify missing numbers.,How does number order help you figure out which number is missing?,How Many?,K.CC.A.1,"[""K.CC.A.1""]","[""K.Mod1.AD1""]","[""Count to 10.""]",[K.Mod1.AD1] Count to 10.,Sequencing numbers helps students begin to understand the relationship between them. Students explore this relationship by ordering Numeral Cards 1–10. They become number detectives by identifying numbers within the sequence that they can not see.
GK-M1-L29,K,1,29,Model the pattern of 1 more in the forward count sequence.,Model the pattern of 1 more in the forward count sequence.,I can say the next number when I count. I can show that it is one more.,Orally explain the pattern of 1 more in the forward count sequence.,"What do you notice, or see and hear, as we count from 1 to 10?",How Many?,K.CC.B.4.c,"[""K.CC.B.4.c""]","[""K.Mod1.AD7""]","[""Recognize that each successive number is one more when counting within 10.""]",[K.Mod1.AD7] Recognize that each successive number is one more when counting within 10.,"Students visualize the pattern of 1 more in the forward count sequence through a series of models. The number stairs are a high-impact visual to help students see that when counting forward, each number said is 1 more than the previous number."
GK-M1-L30,K,1,30,Build number stairs to show the pattern of 1 more in the forward count sequence.,Build number stairs to show the pattern of 1 more in the forward count sequence.,I can count and write numbers in order. I can make number stairs to match.,"Orally explain the pattern of 1 more in the forward count sequence. In writing, use the pattern of 1 more to record the structure of number stairs.",What do you notice as we count from 1 to 10?,How Many?,K.CC.B.4.c,"[""K.CC.B.4.c""]","[""K.Mod1.AD7""]","[""Recognize that each successive number is one more when counting within 10.""]",[K.Mod1.AD7] Recognize that each successive number is one more when counting within 10.,Students build and draw number stairs to show the pattern of 1 more in the forward count sequence. They use their work to show how each successive number is 1 more and develop language to describe the pattern.
GK-M1-L31,K,1,31,Model the pattern of 1 less in the backward count sequence.,Model the pattern of 1 less in the backward count sequence.,I can count back from 10 to 0. I can show the next number is one less.,Listen to and orally explain the pattern of 1 less in the backward count sequence.,What do you notice as we count back from 10 to 0?,How Many?,K.CC.B.4.c,"[""K.CC.B.4.c""]","[""K.Mod1.AD7""]","[""Recognize that each successive number is one more when counting within 10.""]",[K.Mod1.AD7] Recognize that each successive number is one more when counting within 10.,"Students see the pattern of 1 less while counting backward through a series of models. The final model is the number stairs flipped to start at 10. Using a familiar model helps students see that the pattern of 1 less is complementary to the pattern of 1 more and that when counting backward, each number said is 1 less than the previous number."
GK-M1-L32,K,1,32,Build number stairs to show the pattern of 1 less in the backward count sequence.,Build number stairs to show the pattern of 1 less in the backward count sequence.,I can count back from 10 to 0. I can make number stairs to match.,"Orally explain the pattern of 1 less in the backward count sequence. In writing, use the pattern of 1 less to record the structure of number stairs.",What do you notice as we count back from 10 to 0?,How Many?,K.CC.B.4.c,"[""K.CC.B.4.c""]","[""K.Mod1.AD7""]","[""Recognize that each successive number is one more when counting within 10.""]",[K.Mod1.AD7] Recognize that each successive number is one more when counting within 10.,Students build and draw number stairs from 10 to 1 to show the pattern of 1 less in the backward count sequence. They use their work to show that the next number is 1 less and develop language to describe the pattern.
GK-M1-L33,K,1,33,"Organize, count, and represent a collection of objects.","Organize, count, and represent a collection of objects.",I can show how I count a group of things.,"Listen to and orally describe strategies to accurately count and record a collection of objects, including the use of drawings and numerals.",How did you get better at counting and recording?,How Many?,K.CC.A.1; K.CC.B.4.a; K.CC.B.4.b; K.CC.B.5,"[""K.CC.A.1"", ""K.CC.B.4.a"", ""K.CC.B.4.b"", ""K.CC.B.5""]","[""K.Mod1.AD1"", ""K.Mod1.AD4"", ""K.Mod1.AD5"", ""K.Mod1.AD8""]","[""Count to 10."", ""Say one number name with each object when counting up to 10 objects."", ""Use the last number of a count to tell how many regardless of arrangement or order counted."", ""Count to answer how many questions about as many as 10 things arranged in a line, a rectangular array, a circle, or a scattered configuration.""]","[K.Mod1.AD1] Count to 10. [K.Mod1.AD4] Say one number name with each object when counting up to 10 objects. [K.Mod1.AD5] Use the last number of a count to tell how many regardless of arrangement or order counted. [K.Mod1.AD8] Count to answer how many questions about as many as 10 things arranged in a line, a rectangular array, a circle, or a scattered configuration.",This counting collection lesson serves as a culminating task for the module. Students demonstrate and celebrate growth with counting concepts and written recordings while teachers gather formative assessment data. Class discussion focuses on student recordings. There is no Fluency component in this lesson. This lesson introduces the term record.
GK-M2-L1,K,2,1,Find and describe attributes of flat shapes.,Find and describe attributes of flat shapes.,I can tell about shapes. I can sort shapes.,"Through speaking and listening, identify and describe attributes of flat shapes. Orally describe how to sort shapes based on attributes.",What words can we use to describe shapes without using their names?,Sort and Describe Data Shapes in the World,K.G.B.4,"[""K.G.B.4""]","[""K.Mod2.AD5""]","[""Analyze and describe two- and three-dimensional shapes, in different sizes and orientations, by using informal language to describe them (e.g., number of sides and corners or having sides of equal length).""]","[K.Mod2.AD5] Analyze and describe two- and three-dimensional shapes, in different sizes and orientations, by using informal language to describe them (e.g., number of sides and corners or having sides of equal length).","• Copy or print the Four Figures Students learn to describe shapes based on mathematical attributes, such as straight and curved, rather than by naming them. Students use attributes to sort. They pictures (in the teacher edition) in color. Hang each picture in a practice using precise language to talk about their ideas. This lesson introduces the different corner of the classroom. term describe. • Create a three-column chart. Label the columns as follows:"
GK-M2-L2,K,2,2,Classify shapes as triangles or nontriangles.,Classify shapes as triangles or nontriangles.,I can sort shapes. I can tell why a shape is a triangle.,Orally identify and describe the attributes of a triangle. Orally reason about why a figure is a triangle or a nontriangle.,How can you tell if a shape is a triangle?,Sort and Describe Data Shapes in the World,K.G.A.1; K.G.A.2; K.G.B.4,"[""K.G.A.1"", ""K.G.A.2"", ""K.G.B.4""]","[""K.Mod2.AD1"", ""K.Mod2.AD3"", ""K.Mod2.AD5""]","[""Describe objects in the environment by using names of shapes."", ""Name and identify shapes regardless of their orientation or overall size."", ""Analyze and describe two- and three-dimensional shapes, in different sizes and orientations, by using informal language to describe them (e.g., number of sides and corners or having sides of equal length).""]","[K.Mod2.AD1] Describe objects in the environment by using names of shapes. [K.Mod2.AD3] Name and identify shapes regardless of their orientation or overall size. [K.Mod2.AD5] Analyze and describe two- and three-dimensional shapes, in different sizes and orientations, by using informal language to describe them (e.g., number of sides and corners or having sides of equal length).","Students learn that a shape with 3 straight sides and 3 corners is called a triangle. Presented with a variety of variant triangles and other shapes and figures, students must use the defining attributes to reason about and classify triangles."
