state,grade,code,description
NE,1,NE.1.N.2.b,"Count verbally by ones and tens within 120 starting at any given number. Understand that the given number is a direct representation of the total objects in a given set and counting on each successive number represents adding an additional object, and counting back each proceeding number represents removing an object."
NE,2,NE.2.N.1.a,"Without counting, recognize and verbally label structured arrangements for briefly shown collections using groups, multiplicative thinking, and place value (e.g.,” I saw 48.” “How did you know?” “I saw 4 groups of 10 and 2 groups of 4 is 8...4 tens and 8 ones...48”)."
NE,5,NE.5.N.2.b,"Represent and justify comparisons of whole numbers, fractions, mixed numbers, and decimals through the thousandths place using number lines, reasoning strategies, and/or equivalence."
NE,K,NE.K.N.1.a,"Without counting, recognize and verbally label arrangements for briefly shown collections up to 10 (e.g., “I saw 5.” “How did you know?” “I saw 3 and 2, that is 5.”)."
NY,K,NY.K.CC.4.d,Understand the concept of ordinal numbers (first through tenth) to describe the relative position and magnitude of whole numbers.
OK,4,OK.4.GM.3.2,"Convert one measure of time to another including seconds to minutes, minutes to hours, hours to days, and vice versa, using various models."
OK,4,OK.4.N.2.1,Demonstrate fluency with multiplication and division facts with factors up to 12.
OK,4,OK.4.N.3.9,"Compare and order benchmark fractions (0, 1/4, 1/3, 1/2, 2/3, 3/4, 1) and decimals (0, 0.25, 0.50, 0.75, 1.00) in a variety of representations."
OK,5,OK.5.N.1.3,"Compare and order decimals and fractions, including mixed numbers and fractions less than one, and locate on a number line."
OK,5,OK.5.N.1.4,"Recognize and generate equivalent terminating decimals, fractions, mixed numbers, and fractions in various models."
OK,K,OK.K.N.1.3,Use ordinal numbers to represent the position of an object in a sequence up to 10.
OK,K,OK.K.N.1.4,Recognize without counting (subitize) the quantity of a small group of objects in organized and random arrangements up to 10.
RI,4,RI.4.OA.A.3.a,Know multiplication facts and related division facts through 12 x 12.
SC,5,SC.5.MGSR.2.1,"Given the unit equivalencies, convert within a single system of measurement from larger units to smaller units and smaller units to larger units for length, weight, liquid volume, and time. Use these conversions in solving real-world situations. Limit units to inches, feet, yards, ounces, pounds, fluid ounces, cups, pints, quarts, gallons, seconds, minutes, hours, milli-, centi-, kilo-, and base units (grams, liters, meters)."
SC,K,SC.K.NR.2.2,"Subitize a quantity of up to 10 objects in an organized arrangement without counting, explaining how one grouped the objects within the set to determine the total quantity."
SC,PK,SC.PK.MTE-5p,"Recognize routines with time passing throughout the day (identifying circle time, snack time, outside play, etc.)."
SD,K,SD.K.CC.A.2,Count forward beginning from any given number within 100 (instead of having to begin at 1). Count backwards beginning from any given number within 20.
SD,PK,SD.PK.CD-4.g,"Verbally count backward from 5 using fingers and use that skill to subtract a given number. (When asked how many would be left if we took 2 fingers away, counts, “Five, four, three!”)"
SD,PK,SD.PK.CD-4.i,"Use and understand the terms “first” through “fifth” and “last” in their play and daily activities. (“The engine is first, and the caboose is last.”)"
TX,1,TX.1.5A,recite numbers forward and backward from any given number between 1 and 120
TX,1,TX.1.5C,use relationships to determine the number that is 10 more and 10 less than a given number up to 120
TX,2,TX.2.2E,locate the position of a given whole number on an open number line
TX,2,TX.2.2F,name the whole number that corresponds to a specific point on a number line
TX,3,TX.3.3A,"represent fractions greater than zero and less than or equal to one with denominators of 2, 3, 4, 6, and 8 using concrete objects and pictorial models, including strip diagrams and number lines"
TX,3,TX.3.3F,"represent equivalent fractions with denominators of 2, 3, 4, 6, and 8 using a variety of objects and pictorial models, including number lines"
TX,3,TX.3.3G,explain that two fractions are equivalent if and only if they are both represented by the same point on the number line or represent the same portion of a same size whole for an area model
TX,4,TX.4.3C,determine if two given fractions are equivalent using a variety of methods
TX,4,TX.4.8B,"convert measurements within the same measurement system, customary or metric, from a smaller unit into a larger unit or a larger unit into a smaller unit when given"
TX,4,TX.4.8C,"solve problems that deal with measurements of length, intervals of time, liquid volumes, mass, and money using addition, subtraction, multiplication, or division as appropriate"
TX,K,TX.K.2A,count forward and backward to at least 20 with and without objects
TX,K,TX.K.2D,recognize instantly the quantity of a small group of objects in organized and random arrangements
TX,K,TX.K.2G,compare sets of objects up to at least 20 in each set using comparative language
VA,1,VA.1.MG.3.h,"Use ordinal numbers first through tenth to describe the relative position of specific days/dates (e.g., What is the first Monday in October? What day of the week is May 6th?)."
VA,2,VA.2.NS.1.g,"Choose a reasonable estimate up to 1,000 when given a contextual problem (e.g., What would be the best estimate for the number of students in our school – 5, 50, or 500?)."
VA,2,VA.2.NS.3.f,"Compare unit fractions for halves, fourths, eighths, thirds, and sixths using words (greater than, less than or equal to) and symbols (>, <, =), with region/area and length models."
VA,4,VA.4.CE.2.b,Recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.
VA,4,VA.4.NS.5.b,"Identify and model equivalent relationships between fractions (proper or improper) and/or mixed numbers and decimals, using halves, fourths, fifths, tenths, and hundredths."
VA,5,VA.5.NS.1.d,"Compare (using symbols <, >, =) and order (least to greatest and greatest to least) a set of no more than four decimals and fractions (proper, improper) and/or mixed numbers using multiple strategies (e.g., benchmarks, place value, number lines). Justify solutions orally, in writing, or with a model."
VA,K,VA.K.NS.1.f,Count backward orally by ones when given any number between 1 and 20.
VA,K,VA.K.NS.2.b,"Construct a set of objects that corresponds to a given numeral within 30, including an empty set."
WI,1,WI.1.OA.C.5.b,"Use conceptual subitizing in unstructured arrangements with totals up to 10 and structured arrangements anchored to 5 or 10 (e.g., ten frames, double ten frames, math rack/rekenrek) with totals up to 20 to relate the compositions and decompositions to addition and subtraction."
WI,K,WI.K.CC.B.5,Quickly recognize and name the quantity of up to 5 objects briefly shown in structured or unstructured arrangements without counting (perceptual subitizing).
WI,K,WI.K.OA.A.3.b,"Quickly name the quantity of objects briefly shown in structured arrangements anchored to 5 (e.g., fingers, ten frames, math rack/rekenrek) with totals up to 10 without counting by recognizing the arrangement or seeing the quantity in subgroups that are combined (conceptual subitizing)."
WI,PK,WI.PK.B.EL.5,Identifies coins and understands their value.
WY,K,WY.K.CC.1B,Count backwards by ones from 20.
