kind,stem_id,other_stem,standard_id,concept_id,node_id,score,detail
relocated,ADD,EXP,1.NBT.C.4,,,,standard's workbook stem differs from every ladder stem it appears in
relocated,ADD,EXP,CA.1.NBT.4,,,,standard's workbook stem differs from every ladder stem it appears in
relocated,ADD,EXP,1.NBT.C.6,,,,standard's workbook stem differs from every ladder stem it appears in
relocated,ADD,EXP,CA.1.NBT.6,,,,standard's workbook stem differs from every ladder stem it appears in
relocated,ADD,EXP,2.NBT.B.5,,,,standard's workbook stem differs from every ladder stem it appears in
relocated,ADD,EXP,CA.2.NBT.5,,,,standard's workbook stem differs from every ladder stem it appears in
relocated,ADD,EXP,FL.2.NSO.2.1,,,,standard's workbook stem differs from every ladder stem it appears in
relocated,ADD,COM,TX.2.4A,,,,standard's workbook stem differs from every ladder stem it appears in
relocated,ANG,IDE,1.G.A.1,,,,standard's workbook stem differs from every ladder stem it appears in
relocated,ANG,IDE,CA.1.G.1,,,,standard's workbook stem differs from every ladder stem it appears in
relocated,EE_GENERAL_EXPRESSIONS,EXP,FL.5.AR.2.2,,,,standard's workbook stem differs from every ladder stem it appears in
relocated,EE_ONE_VARIABLE_EQUATIONS_DEG_1,EXP,OK.5.A.2.2,,,,standard's workbook stem differs from every ladder stem it appears in
relocated,MUL,ADD,FL.3.NSO.2.2,,,,standard's workbook stem differs from every ladder stem it appears in
relocated,MUL,EXP,4.OA.A.2,,,,standard's workbook stem differs from every ladder stem it appears in
relocated,MUL,MUL2,TX.3.5B,,,,standard's workbook stem differs from every ladder stem it appears in
relocated,MUL,EST,FL.4.NSO.2.5,,,,standard's workbook stem differs from every ladder stem it appears in
relocated,RP_COORDINATE_SYSTEM,SPA,5.G.A.1,,,,standard's workbook stem differs from every ladder stem it appears in
relocated,RP_COORDINATE_SYSTEM,SPA,FL.5.GR.4.1,,,,standard's workbook stem differs from every ladder stem it appears in
relocated,RP_COORDINATE_SYSTEM,SPA,5.G.A.2,,,,standard's workbook stem differs from every ladder stem it appears in
relocated,RP_COORDINATE_SYSTEM,SPA,FL.5.GR.4.2,,,,standard's workbook stem differs from every ladder stem it appears in
relocated,RP_COORDINATE_SYSTEM,SPA,TX.5.8B,,,,standard's workbook stem differs from every ladder stem it appears in
relocated,RP_COORDINATE_SYSTEM,SPA,TX.5.8C,,,,standard's workbook stem differs from every ladder stem it appears in
relocated,WHO,EST,OK.3.N.2.4,,,,standard's workbook stem differs from every ladder stem it appears in
relocated,WHO,"EST,EXP",VA.2.CE.1.a,,,,standard's workbook stem differs from every ladder stem it appears in
relocated,WHO,EXP,TX.4.4B,,,,standard's workbook stem differs from every ladder stem it appears in
