source_file,concept_skill,node_text,label,attached_to,fragment
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Develop the standard algorithm for multiplying multi-digit numbers.,Multiply two multi-digit whole numbers and record in vertical form.,scope,FL.4.NSO.2.3,"(2-digit x 2-digit, fluency)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Develop the standard algorithm for multiplying multi-digit numbers.,Multiply two multi-digit whole numbers and record in vertical form.,scope,FL.5.NSO.2.1,"multi-digit SA, fluency"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Develop the standard algorithm for multiplying multi-digit numbers.,Multiply two multi-digit whole numbers and record in vertical form.,scope,TX.4.4C,(2-digit x 2-digit)
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Develop the standard algorithm for multiplying multi-digit numbers.,Multiply two multi-digit whole numbers and record in vertical form.,scope,TX.4.4D,"up to 4-digit x 1-digit, 2-digit x 2-digit"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Develop the standard algorithm for multiplying multi-digit numbers.,Multiply two multi-digit whole numbers and record in vertical form.,scope,TX.5.3B,"3-digit x 2-digit, fluency, SA"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Develop the standard algorithm for multiplying multi-digit numbers.,Multiply two multi-digit whole numbers and record in vertical form.,scope,OK.4.N.2.3,"(estimate 3-digit x 1-digit, 2-digit x 2-digit)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Develop the standard algorithm for multiplying multi-digit numbers.,Multiply two multi-digit whole numbers by using the standard algorithm.,scope,4.NBT.B.5,"(up to 4 digits x 1 digit, 2-digit x 2-digit)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Develop the standard algorithm for multiplying multi-digit numbers.,Multiply two multi-digit whole numbers by using the standard algorithm.,unclassified,5.NBT.B.5,(fluently multi-digit SA)
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Develop the standard algorithm for multiplying multi-digit numbers.,Multiply two multi-digit whole numbers by using the standard algorithm.,scope,FL.4.NSO.2.2,"(up to 3-digit x up to 2-digit, reliability)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Develop the standard algorithm for multiplying multi-digit numbers.,Multiply two multi-digit whole numbers by using the standard algorithm.,scope,FL.4.NSO.2.3,"(2-digit x 2-digit, fluency)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Develop the standard algorithm for multiplying multi-digit numbers.,Multiply two multi-digit whole numbers by using the standard algorithm.,scope,FL.5.NSO.2.1,"multi-digit SA, fluency"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Develop the standard algorithm for multiplying multi-digit numbers.,Multiply two multi-digit whole numbers by using the standard algorithm.,scope,TX.4.4C,(2-digit x 2-digit)
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Develop the standard algorithm for multiplying multi-digit numbers.,Multiply two multi-digit whole numbers by using the standard algorithm.,scope,TX.4.4D,"up to 4-digit x 1-digit, 2-digit x 2-digit"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Develop the standard algorithm for multiplying multi-digit numbers.,Multiply two multi-digit whole numbers by using the standard algorithm.,scope,TX.5.3B,"3-digit x 2-digit, fluency, SA"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Develop the standard algorithm for multiplying multi-digit numbers.,Multiply two multi-digit whole numbers by using the standard algorithm.,scope,OK.4.N.2.3,"(estimate 3-digit x 1-digit, 2-digit x 2-digit)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Divide multi-digit whole numbers by single-digit whole numbers in problems with whole-number quotients.,Divide multi-digit whole numbers by single-digit whole numbers in problems with whole-number quotients by using strategies based on place value concepts and the properties of operations.,scope,FL.4.NSO.2.4,"(up to 4 by 1, procedural reliability, remainder as fraction)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Divide multi-digit whole numbers by single-digit whole numbers in problems with whole-number quotients.,Divide multi-digit whole numbers by single-digit whole numbers in problems with whole-number quotients by using strategies based on place value concepts and the properties of operations.,scope,TX.4.4E,"(up to 4 by 1, using arrays, area models, equations)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Divide multi-digit whole numbers by single-digit whole numbers in problems with whole-number quotients.,Divide multi-digit whole numbers by single-digit whole numbers in problems with whole-number quotients by using strategies based on place value concepts and the properties of operations.,unclassified,OK.5.N.2.2,"(no related G4 standard, all in G5 in OK)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Divide multi-digit whole numbers by single-digit whole numbers in problems with whole-number quotients.,Divide multi-digit whole numbers by single-digit whole numbers by recording partial quotients in vertical form for problems with whole-number quotients.,scope,FL.4.NSO.2.4,"(up to 4 by 1, procedural reliability, remainder as fraction)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Divide multi-digit whole numbers by single-digit whole numbers in problems with whole-number quotients.,Divide multi-digit whole numbers by single-digit whole numbers by recording partial quotients in vertical form for problems with whole-number quotients.,unclassified,TX.4.4F,(use strategies and algorithms)
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Divide multi-digit whole numbers by single-digit whole numbers in problems with whole-number quotients.,Divide multi-digit whole numbers by single-digit whole numbers by recording partial quotients in vertical form for problems with whole-number quotients.,unclassified,OK.5.N.2.2,"(no related G4 standard, all in G5 in OK)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Find whole-number quotients and remainders with multi-digit dividends and one-digit divisors.,Find whole-number quotients and remainders with multi-digit dividends and one-digit divisors by using strategies based on place value concepts and the properties of operations.,scope,FL.4.NSO.2.4,"(up to 4 by 1, procedural reliability, remainder as fraction)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Find whole-number quotients and remainders with multi-digit dividends and one-digit divisors.,Find whole-number quotients and remainders with multi-digit dividends and one-digit divisors by using strategies based on place value concepts and the properties of operations.,scope,TX.4.4E,"(up to 4 by 1, using arrays, area models, equations)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Find whole-number quotients and remainders with multi-digit dividends and one-digit divisors.,Find whole-number quotients and remainders with multi-digit dividends and one-digit divisors by using strategies based on place value concepts and the properties of operations.,unclassified,OK.5.N.2.2,"(no related G4 standard, all in G5 in OK)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Find whole-number quotients and remainders with multi-digit dividends and one-digit divisors.,Find whole-number quotients and remainders with multi-digit dividends and one-digit divisors by recording the partial quotients in vertical form.,scope,FL.4.NSO.2.4,"(up to 4 by 1, procedural reliability, remainder as fraction)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Find whole-number quotients and remainders with multi-digit dividends and one-digit divisors.,Find whole-number quotients and remainders with multi-digit dividends and one-digit divisors by recording the partial quotients in vertical form.,unclassified,TX.4.4F,(use strategies and algorithms)
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Find whole-number quotients and remainders with multi-digit dividends and one-digit divisors.,Find whole-number quotients and remainders with multi-digit dividends and one-digit divisors by recording the partial quotients in vertical form.,unclassified,OK.5.N.2.2,"(no related G4 standard, all in G5 in OK)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Find whole-number quotients and remainders with multi-digit dividends and one-digit divisors.,Interpret remainders in context.,scope,FL.4.AR.1.1,"(WP, interpret remainder in context)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Find whole-number quotients and remainders with multi-digit dividends and one-digit divisors.,Interpret remainders in context.,unclassified,TX.4.4H,"(WP, include interpreting remainders)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Find whole-number quotients and remainders with multi-digit dividends and multi-digit divisors.,Find whole-number quotients and remainders with multi-digit dividends and two-digit divisors by using strategies based on place value concepts and the properties of operations.,scope,5.NBT.B.6,"(up to 4 by 2, strategies)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Find whole-number quotients and remainders with multi-digit dividends and multi-digit divisors.,Find whole-number quotients and remainders with multi-digit dividends and two-digit divisors by using strategies based on place value concepts and the properties of operations.,scope,FL.5.NSO.2.2,"(5-digit dividend, SA, remainder as fraction)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Find whole-number quotients and remainders with multi-digit dividends and multi-digit divisors.,Find whole-number quotients and remainders with multi-digit dividends and two-digit divisors by using strategies based on place value concepts and the properties of operations.,scope,TX.5.3C,"(4-digit dividend, SA)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Find whole-number quotients and remainders with multi-digit dividends and multi-digit divisors.,Find whole-number quotients and remainders with multi-digit dividends and two-digit divisors by using strategies based on place value concepts and the properties of operations.,scope,OK.5.N.2.2,"(multi-digit dividend, strategies including SA)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Find whole-number quotients and remainders with multi-digit dividends and multi-digit divisors.,Find whole-number quotients and remainders with multi-digit dividends and two-digit divisors by recording the partial quotients in vertical form.,scope,5.NBT.B.6,"(up to 4 by 2, strategies)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Find whole-number quotients and remainders with multi-digit dividends and multi-digit divisors.,Find whole-number quotients and remainders with multi-digit dividends and two-digit divisors by recording the partial quotients in vertical form.,scope,FL.5.NSO.2.2,"(5-digit dividend, SA, remainder as fraction)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Find whole-number quotients and remainders with multi-digit dividends and multi-digit divisors.,Find whole-number quotients and remainders with multi-digit dividends and two-digit divisors by recording the partial quotients in vertical form.,scope,TX.5.3C,"(4-digit dividend, SA)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Find whole-number quotients and remainders with multi-digit dividends and multi-digit divisors.,Find whole-number quotients and remainders with multi-digit dividends and two-digit divisors by recording the partial quotients in vertical form.,scope,OK.5.N.2.2,"(multi-digit dividend, strategies including SA)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Find whole-number quotients and remainders with multi-digit dividends and multi-digit divisors.,Express the result of division with remainder as a mixed number.,scope,5.NBT.B.6,"(up to 4 by 2, strategies)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Find whole-number quotients and remainders with multi-digit dividends and multi-digit divisors.,Express the result of division with remainder as a mixed number.,scope,FL.5.NSO.2.2,"(5-digit dividend, SA, remainder as fraction)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Find whole-number quotients and remainders with multi-digit dividends and multi-digit divisors.,Find mixed-number quotients and remainders with multi-digit dividends and divisors by using the standard algorithm.,unclassified,6.NS.B.2,"(std alg, whole numbers)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Find whole-number quotients and remainders with multi-digit dividends and multi-digit divisors.,Find mixed-number quotients and remainders with multi-digit dividends and divisors by using the standard algorithm.,scope,FL.5.NSO.2.2,"(5-digit dividend, SA)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Find whole-number quotients and remainders with multi-digit dividends and multi-digit divisors.,Find mixed-number quotients and remainders with multi-digit dividends and divisors by using the standard algorithm.,scope,TX.5.3C,"(4-digit dividend, SA)"
MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,Find whole-number quotients and remainders with multi-digit dividends and multi-digit divisors.,Find mixed-number quotients and remainders with multi-digit dividends and divisors by using the standard algorithm.,scope,OK.5.N.2.2,"(multi-digit dividend, strategies including SA)"
