Rows where neither concept_standards nor the category route named any
stem (§5 rule 6). Ruled: surfaced here, not chased (session brief §8).

952 rows.

band   sheet                        code                
6_9    Other State Standards Gaps   MN.6.2.3.4
6_9    Other State Standards Gaps   MN.6.3.5.8
6_9    Other State Standards Gaps   MN.6.3.5.9
6_9    Other State Standards Gaps   MN.7.1.1.5
6_9    Other State Standards Gaps   MN.8.1.1.2
6_9    Other State Standards Gaps   MN.8.1.1.5
6_9    Other State Standards Gaps   MN.9.1.1.10
6_9    Other State Standards Gaps   MN.9.1.1.12
6_9    Other State Standards Gaps   MO.6.DSP.B.4
6_9    Other State Standards Gaps   MO.6.DSP.B.4.b
6_9    Other State Standards Gaps   MO.7.GM.A.3
6_9    Other State Standards Gaps   ND.6.NO.O.3
6_9    Other State Standards Gaps   ND.7.NO.O.2
6_9    Other State Standards Gaps   NE.6.D.2.b
6_9    Other State Standards Gaps   NE.7.G.2.a
6_9    Other State Standards Gaps   NY.7.SP.1
6_9    Other State Standards Gaps   OH.7.SP.2c
6_9    Other State Standards Gaps   OH.S.ID.1
6_9    Other State Standards Gaps   OK.6.GM.4.1
6_9    Other State Standards Gaps   OK.6.N.4.2
6_9    Other State Standards Gaps   OK.6.N.4.3
6_9    Other State Standards Gaps   OK.7.D.1.2
6_9    Other State Standards Gaps   OK.7.D.1.3
6_9    Other State Standards Gaps   OK.7.GM.3.1
6_9    Other State Standards Gaps   PA.CC.2.1.HS.F.3
6_9    Other State Standards Gaps   PA.M07.C-G.1.1.2
6_9    Other State Standards Gaps   RI.6.RP.A.3.e
6_9    Other State Standards Gaps   RI.6.SP.B.4.a
6_9    Other State Standards Gaps   SC.6.PAFR.3.6
6_9    Other State Standards Gaps   SC.7.DPSR.1.1
6_9    Other State Standards Gaps   SC.7.MGSR.1.1
6_9    Other State Standards Gaps   SC.7.PAFR.2.4
6_9    Other State Standards Gaps   TN.6.SP.B.4
6_9    Other State Standards Gaps   VA.6.CE.1.a
6_9    Other State Standards Gaps   VA.6.CE.1.b
6_9    Other State Standards Gaps   VA.6.CE.1.c
6_9    Other State Standards Gaps   VA.6.CE.1.d
6_9    Other State Standards Gaps   VA.6.CE.1.e
6_9    Other State Standards Gaps   VA.6.MG.1.a
6_9    Other State Standards Gaps   VA.6.MG.1.b
6_9    Other State Standards Gaps   VA.6.MG.1.b.i
6_9    Other State Standards Gaps   VA.6.MG.1.b.ii
6_9    Other State Standards Gaps   VA.6.MG.1.b.iii
6_9    Other State Standards Gaps   VA.6.MG.1.c
6_9    Other State Standards Gaps   VA.6.MG.1.d
6_9    Other State Standards Gaps   VA.6.MG.1.e
6_9    Other State Standards Gaps   VA.6.MG.4.a
6_9    Other State Standards Gaps   VA.6.MG.4.c
6_9    Other State Standards Gaps   VA.6.MG.4.d
6_9    Other State Standards Gaps   VA.6.PS.1.d
6_9    Other State Standards Gaps   VA.6.PS.1.e
6_9    Other State Standards Gaps   VA.6.PS.1.f
6_9    Other State Standards Gaps   VA.7.MG.3.c
6_9    Other State Standards Gaps   VA.7.MG.3.d
6_9    Other State Standards Gaps   VA.7.PS.7.2.d
6_9    Other State Standards Gaps   VA.7.PS.7.2.e
6_9    Other State Standards Gaps   VA.7.PS.7.2.f
6_9    Other State Standards Gaps   VA.8.PS.2.d
6_9    Other State Standards Gaps   VA.8.PS.2.e
6_9    Other State Standards Gaps   VA.8.PS.2.i
6_9    Other State Standards Gaps   VA.8.PS.2.j
6_9    Other State Standards Gaps   VA.PS.7.2.g
6_9    Texas                        TX.6.12A
6_9    Texas                        TX.6.12B
6_9    Texas                        TX.6.12C
6_9    Texas                        TX.6.12D
6_9    Texas                        TX.6.13A
6_9    Texas                        TX.6.13B
6_9    Texas                        TX.6.14A
6_9    Texas                        TX.6.14B
6_9    Texas                        TX.6.14C
6_9    Texas                        TX.6.14D
6_9    Texas                        TX.6.14E
6_9    Texas                        TX.6.14F
6_9    Texas                        TX.6.14G
6_9    Texas                        TX.6.14H
6_9    Texas                        TX.6.2A
6_9    Texas                        TX.6.2E
6_9    Texas                        TX.6.3A
6_9    Texas                        TX.6.3B
6_9    Texas                        TX.6.4A
6_9    Texas                        TX.6.4B
6_9    Texas                        TX.6.4C
6_9    Texas                        TX.6.4D
6_9    Texas                        TX.6.4E
6_9    Texas                        TX.6.4F
6_9    Texas                        TX.6.4G
6_9    Texas                        TX.6.4H
6_9    Texas                        TX.6.5A
6_9    Texas                        TX.6.6A
6_9    Texas                        TX.6.6B
6_9    Texas                        TX.6.6C
6_9    Texas                        TX.6.7A
6_9    Texas                        TX.6.7B
6_9    Texas                        TX.6.7C
6_9    Texas                        TX.6.7D
6_9    Texas                        TX.6.8A
6_9    Texas                        TX.6.8B
6_9    Texas                        TX.6.8C
6_9    Texas                        TX.6.8D
6_9    Texas                        TX.7.12A
6_9    Texas                        TX.7.12B
6_9    Texas                        TX.7.12C
6_9    Texas                        TX.7.13A
6_9    Texas                        TX.7.13B
6_9    Texas                        TX.7.13C
6_9    Texas                        TX.7.13D
6_9    Texas                        TX.7.13E
6_9    Texas                        TX.7.13F
6_9    Texas                        TX.7.2
6_9    Texas                        TX.7.4A
6_9    Texas                        TX.7.4B
6_9    Texas                        TX.7.4C
6_9    Texas                        TX.7.4D
6_9    Texas                        TX.7.4E
6_9    Texas                        TX.7.5A
6_9    Texas                        TX.7.5B
6_9    Texas                        TX.7.5C
6_9    Texas                        TX.7.6F
6_9    Texas                        TX.7.6G
6_9    Texas                        TX.7.7
6_9    Texas                        TX.7.8A
6_9    Texas                        TX.7.8B
6_9    Texas                        TX.7.8C
6_9    Texas                        TX.7.9A
6_9    Texas                        TX.7.9B
6_9    Texas                        TX.7.9C
6_9    Texas                        TX.7.9D
6_9    Texas                        TX.8.10A
6_9    Texas                        TX.8.10B
6_9    Texas                        TX.8.10C
6_9    Texas                        TX.8.10D
6_9    Texas                        TX.8.11A
6_9    Texas                        TX.8.11B
6_9    Texas                        TX.8.11C
6_9    Texas                        TX.8.12A
6_9    Texas                        TX.8.13B
6_9    Texas                        TX.8.13C
6_9    Texas                        TX.8.13D
6_9    Texas                        TX.8.13E
6_9    Texas                        TX.8.13F
6_9    Texas                        TX.8.13G
6_9    Texas                        TX.8.2C
6_9    Texas                        TX.8.2D
6_9    Texas                        TX.8.3A
6_9    Texas                        TX.8.3B
6_9    Texas                        TX.8.3C
6_9    Texas                        TX.8.5A
6_9    Texas                        TX.8.5C
6_9    Texas                        TX.8.5D
6_9    Texas                        TX.8.5E
6_9    Texas                        TX.8.5F
6_9    Texas                        TX.8.6A
6_9    Texas                        TX.8.6B
6_9    Texas                        TX.8.7A
6_9    Texas                        TX.8.7B
6_9    Texas                        TX.8.9
6_9    Texas                        TX.A1.10C
6_9    Texas                        TX.A1.10F
6_9    Texas                        TX.A1.2D
6_9    Texas                        TX.A1.4A
6_9    Texas                        TX.A1.4B
6_9    Texas                        TX.A1.4C
6_9    Texas                        TX.A1.6C
6_9    Texas                        TX.A1.7C
None   California-not CCSS          CA.8-12.G-GMD.5
None   California-not CCSS          CA.8-12.G-GMD.6
None   California-not CCSS          CA.8-12.G-SRT.8.1
None   California-not CCSS          CA.9-12.A-REI.3.1
None   California-not CCSS          CA.9-12.F-IF.10
None   California-not CCSS          CA.9-12.F-IF.11
None   California-not CCSS          CA.9-12.F-LE.4.1
None   California-not CCSS          CA.9-12.F-LE.4.2
None   California-not CCSS          CA.9-12.F-LE.4.3
None   California-not CCSS          CA.9-12.F-TF.10
None   California-not CCSS          CA.9-12.F-TF.2.1
None   California-not CCSS          CA.9-12.G-GPE.3.1
None   Florida                      FL.912.AR.1.10
None   Florida                      FL.912.AR.1.11
None   Florida                      FL.912.AR.1.9
None   Florida                      FL.912.AR.10.3
None   Florida                      FL.912.AR.10.4
None   Florida                      FL.912.AR.3.10
None   Florida                      FL.912.AR.3.3
None   Florida                      FL.912.AR.3.9
None   Florida                      FL.912.AR.4.4
None   Florida                      FL.912.AR.5.2
None   Florida                      FL.912.AR.5.8
None   Florida                      FL.912.AR.5.9
None   Florida                      FL.912.AR.6.2
None   Florida                      FL.912.AR.6.3
None   Florida                      FL.912.AR.6.4
None   Florida                      FL.912.AR.6.5
None   Florida                      FL.912.AR.6.6
None   Florida                      FL.912.AR.7.1
None   Florida                      FL.912.AR.7.2
None   Florida                      FL.912.AR.7.3
None   Florida                      FL.912.AR.7.4
None   Florida                      FL.912.AR.8.1
None   Florida                      FL.912.AR.8.2
None   Florida                      FL.912.AR.8.3
None   Florida                      FL.912.AR.9.8
None   Florida                      FL.912.C.1.1
None   Florida                      FL.912.C.1.10
None   Florida                      FL.912.C.1.11
None   Florida                      FL.912.C.1.2
None   Florida                      FL.912.C.1.3
None   Florida                      FL.912.C.1.4
None   Florida                      FL.912.C.1.5
None   Florida                      FL.912.C.1.6
None   Florida                      FL.912.C.1.7
None   Florida                      FL.912.C.1.8
None   Florida                      FL.912.C.1.9
None   Florida                      FL.912.C.2.1
None   Florida                      FL.912.C.2.10
None   Florida                      FL.912.C.2.2
None   Florida                      FL.912.C.2.3
None   Florida                      FL.912.C.2.4
None   Florida                      FL.912.C.2.5
None   Florida                      FL.912.C.2.6
None   Florida                      FL.912.C.2.7
None   Florida                      FL.912.C.2.8
None   Florida                      FL.912.C.2.9
None   Florida                      FL.912.C.3.1
None   Florida                      FL.912.C.3.10
None   Florida                      FL.912.C.3.2
None   Florida                      FL.912.C.3.3
None   Florida                      FL.912.C.3.4
None   Florida                      FL.912.C.3.5
None   Florida                      FL.912.C.3.6
None   Florida                      FL.912.C.3.7
None   Florida                      FL.912.C.3.8
None   Florida                      FL.912.C.3.9
None   Florida                      FL.912.C.4.1
None   Florida                      FL.912.C.4.2
None   Florida                      FL.912.C.4.3
None   Florida                      FL.912.C.4.4
None   Florida                      FL.912.C.4.5
None   Florida                      FL.912.C.4.6
None   Florida                      FL.912.C.4.6.a
None   Florida                      FL.912.C.4.6.b
None   Florida                      FL.912.C.4.6.c
None   Florida                      FL.912.C.4.6.d
None   Florida                      FL.912.C.4.6.e
None   Florida                      FL.912.C.4.6.f
None   Florida                      FL.912.C.4.7
None   Florida                      FL.912.C.5.1
None   Florida                      FL.912.C.5.2
None   Florida                      FL.912.C.5.3
None   Florida                      FL.912.C.5.4
None   Florida                      FL.912.C.5.5
None   Florida                      FL.912.C.5.6
None   Florida                      FL.912.C.5.7
None   Florida                      FL.912.DP.1.5
None   Florida                      FL.912.DP.2.1
None   Florida                      FL.912.DP.2.2
None   Florida                      FL.912.DP.2.3
None   Florida                      FL.912.DP.2.5
None   Florida                      FL.912.DP.2.7
None   Florida                      FL.912.DP.3.2
None   Florida                      FL.912.DP.3.3
None   Florida                      FL.912.DP.3.4
None   Florida                      FL.912.DP.3.5
None   Florida                      FL.912.DP.5.1
None   Florida                      FL.912.DP.5.10
None   Florida                      FL.912.DP.5.11
None   Florida                      FL.912.DP.5.2
None   Florida                      FL.912.DP.5.3
None   Florida                      FL.912.DP.5.4
None   Florida                      FL.912.DP.5.5
None   Florida                      FL.912.DP.5.6
None   Florida                      FL.912.DP.5.7
None   Florida                      FL.912.DP.5.8
None   Florida                      FL.912.DP.5.9
None   Florida                      FL.912.DP.6.1
None   Florida                      FL.912.DP.6.2
None   Florida                      FL.912.DP.6.3
None   Florida                      FL.912.DP.6.4
None   Florida                      FL.912.DP.6.5
None   Florida                      FL.912.DP.6.6
None   Florida                      FL.912.DP.6.7
None   Florida                      FL.912.DP.6.8
None   Florida                      FL.912.F.1.4
None   Florida                      FL.912.F.1.9
None   Florida                      FL.912.F.2.2
None   Florida                      FL.912.F.2.4
None   Florida                      FL.912.F.3.5
None   Florida                      FL.912.F.3.6
